license,name,entity,estab_type,address,city,zip,borough,sqft,size_class,is_supermarket,lon,lat
718650,LP CORNER DELI,LP CORNER DELI INC,AC,20801 35TH AVENUE,BAYSIDE,11361,Queens,950,Corner store or specialty,True,-73.77987,40.76753
718657,KINGS HWY PHARMACY AND MEDICAL SUPPLY,KINGS HWY PHARMACY & MEDICAL SUPPLY INC,ABC,1416 KINGS HWY,BROOKLYN,11229,Brooklyn,5000,Other licensed food retailer,False,-73.95868,40.60857
718669,48TH STREET DELI & GROCERY,48TH STREET DELI & GROCERY INC,AC,48-02 30TH AVENUE,ASTORIA,11103,Queens,700,Corner store or specialty,True,-73.90837,40.76079
718670,MI GENTE DELI GROCERY,MI GENTE DELI GROCERY CORP,AC,1071 ELDER  AVENUE,BRONX,10472,Bronx,,Size unknown,True,-73.87851,40.82574
718671,TELLER MART,TELLER MART LLC,AC,920 TELLER AVE,BRONX,10451,Bronx,2000,Corner store or specialty,True,-73.91552,40.82616
718672,84TH ST CORNER DELI,84TH ST CORNER DELI CORP,AC,1624 2ND AVE.,NEW YORK,10028,Manhattan,,Size unknown,True,-73.95262,40.77666
718673,FU LONG FOOD PRODUCT,FU LONG FOOD PRODUCT INC,AC,68-28 FRESH MEADOWS LANE,FRESH MEADOWS,11365,Queens,2000,Corner store or specialty,True,-73.7944,40.73288
718675,MI PUEBLO GROCERY,MI PUEBLO GROCERY INC,AC,2939 FULTON ST,BROOKLYN,11207,Brooklyn,800,Corner store or specialty,True,-73.88628,40.67944
718687,JENNY FOOD,JENNY FOOD CORP,AC,2026 7TH AVENUE,NEW YORK,10027,Manhattan,,Size unknown,True,-73.9501,40.80666
718694,EVERGREEN FARM MARKET,EVERGREEN FARM MARKET INC,AC,466 ONDERDONK  AVENUE ####,RIDGEWOOD,11385,Queens,1100,Corner store or specialty,True,-73.91207,40.70685
718714,TAJUKEN DELI,TAJUKEN DELI CORP,AC,114 MARCUS GARVEY BLVD,BROOKLYN,11206,Brooklyn,5000,Standard supermarket,True,-73.94037,40.69475
718729,5 STAR EXPRESS DELI AND GROCERY,5 STAR EXPRESS DELI AND GROCERY CORP,AC,1176 NOSTRAND AVENUE,BROOKLYN,11225,Brooklyn,1800,Corner store or specialty,True,-73.95041,40.6588
718744,TASTY PICK DELI AND GRILL,117 LEXINGTON INC,AC,1878 LEXINGTON AVENUE,NEW YORK,10035,Manhattan,500,Other licensed food retailer,False,-73.94127,40.79911
718748,ROCKAWAY GOURMET & GROCERY,ROCKAWAY GOURMET & GROCERY CORP,AC,9627 FARRAGUT ROAD,BROOKLYN,11236,Brooklyn,1500,Corner store or specialty,True,-73.9041,40.64657
718761,CENCERRO DELI GROCERY,CENCERRO DELI GROCERY CORP,AC,1403 5TH AVE,NEW YORK,10029,Manhattan,,Size unknown,True,-73.94683,40.80015
718765,KINGS BRIDGE MARKET,KINGS BRIDGE MARKET INC,AC,30 W KINGSBRIDGE RD,BRONX,10468,Bronx,2000,Corner store or specialty,True,-73.89877,40.86774
718768,NUTHIN LEFT DELI & GROCERY,NUTHIN LEFT DELI & GROCERY INC,AC,52-02 92ND ST,ELMHURST,11373,Queens,1500,Corner store or specialty,True,-73.87115,40.73926
718784,ZEREGA BAZAR HALAL MEAT AND GROCERY,NEW ZEREGA BAZAR INC,AC,2409 WESTCHESTER AVE,BRONX,10461,Bronx,1200,Corner store or specialty,True,-73.84611,40.8373
718789,CT GROCERY NY,CT GROCERY NY CORP,AC,869 BRYANT AVE,BRONX,10474,Bronx,,Size unknown,True,-73.88665,40.81879
718791,BROADWAY FAMOUS DELI,BROADWAY FAMOUS DELI CORP,AC,4879 BROADWAY ###,NEW YORK,10034,Manhattan,,Size unknown,True,-73.92365,40.86682
718793,MEDITERRANEAN FOODS III,MEDITERRANEAN FOODS III INC,AC,22-78 35TH STREET,ASTORIA,11105,Queens,6000,Standard supermarket,True,-73.91083,40.77328
718797,SUNNY MORNING STAR GROCERY,SUNNY MORNING STAR GROCERY CORP,AC,268 MORNINGSTAR ROAD,STATEN ISLAND,10303,Staten Island,800,Corner store or specialty,True,-74.14673,40.63163
718801,FRIENDZ DELI & GROCERY,FRIENDZ DELI & GROCERY INC,AC,64-04 FLUSHING AVE.,MASPETH,11378,Queens,,Size unknown,True,-73.90131,40.72273
718818,FINE FARE,MERRICK MEAT MARKET INC,AC,108-30 MERRICK BOULEVARD,JAMAICA,11433,Queens,,Size unknown,True,-73.78591,40.69773
718825,CORDOBA DELI GROCERY,CORDOBA DELI GROCERY CORP,AC,4324 3RD AVENUE,BROOKLYN,11232,Brooklyn,1200,Corner store or specialty,True,-74.01117,40.65122
718827,FRESHYS DELI & GROCERY,COLUMBUS GROCERS LLC,AC,941 COLUMBUS AVE,NEW YORK,10025,Manhattan,1650,Corner store or specialty,True,-73.96277,40.7994
718835,K& M DELI MINI MARKET,K& M DELI MINI MARKET CORP,AC,3178 BAINBRIDGE AVENUE,BRONX,10467,Bronx,1100,Corner store or specialty,True,-73.87954,40.87558
718839,323 GUN HILL DELI & GROCERY,323 GUN HILL DELI & GROCERY CORP,AC,323 E GUN HILL ROAD,BRONX,10467,Bronx,1200,Corner store or specialty,True,-73.87371,40.8789
718840,LA TRADICION DELI GROCERY,LA TRADICION DELI GROCERY CORP,AC,1145 BOSTON ROAD,BRONX,10456,Bronx,,Size unknown,True,-73.90377,40.82829
718846,MEXICO TRAVEL,MEXICO TRAVEL CORP,AC,238 EAST 116TH ST,NEW YORK,10029,Manhattan,,Size unknown,True,-73.93848,40.7973
718851,LA TINFORA GROCERY,LA TINFORA GROCERY CORP,AC,2386 WEBSTER AVE,BRONX,10458,Bronx,1200,Corner store or specialty,True,-73.89401,40.85866
718865,DANBAKO HALAL MEAT MKT,DANBAKO LLC,ACK,1387 BOSTON RD,BRONX,10456,Bronx,1000,Corner store or specialty,True,-73.89725,40.83311
718868,KEY FOOD SUPERMARKET,RUBEN & RUBEN FOOD CORP,AC,87-25 LEFFERTS BLVD,RICHMOND HILL,11418,Queens,20000,Large supermarket,True,-73.82982,40.69904
718870,7 BAGELS & DELI,7 BAGELS CORP,AC,85-15 MAIN STREET,JAMAICA,11435,Queens,,Size unknown,True,-73.81975,40.71018
718883,6109 L & Y MARKET,6109 L & Y MARKET INC,A,6109 5TH AVE,BROOKLYN,11220,Brooklyn,1800,Corner store or specialty,True,-74.01698,40.63868
718903,1885 ONE STOP ENTERPRISES/SUBWAY,1885 ONE STOP ENTERPRISES INC,AC,1885 WESTCHESTER A VENUE,BRONX,10472,Bronx,,Size unknown,True,-73.86306,40.83284
718908,J & E DELI GROCERY,7 H GROUP INC.,AC,3321 3RD AVENUE,BRONX,10456,Bronx,,Size unknown,True,-73.9078,40.8264
718918,FOOD KICK,FRESH DIRECT LLC,ACDK,630 FLUSHING AVE FL 1,BROOKLYN,11206,Brooklyn,10000,Large supermarket,True,-73.94869,40.69994
718931,U T DELI,U T DELI INC,AC,876 UTICA AVE,BROOKLYN,11203,Brooklyn,3000,Small supermarket or grocer,True,-73.93042,40.65187
718943,HUDSON # 1152,HUDSON GROUP (HG) RETAIL LLC,A,625 8TH AVE ####,NEW YORK,10018,Manhattan,1400,Corner store or specialty,True,-73.99036,40.75646
718945,HUDSON #1117,HUDSON GROUP (HG) RETAIL LLC,A,625 8TH AVE ###,NEW YORK,10018,Manhattan,100,Corner store or specialty,True,-73.99036,40.75646
718972,245 BROADWAY MARKET,245 BROADWAY MARKET CORP,AC,6029 BROADWAY,BRONX,10471,Bronx,1200,Corner store or specialty,True,-73.8974,40.89155
718973,BALS BAGELS,BALS BAGELS INC,AC,195-197 HAVERMEYER,BROOKLYN,11211,Brooklyn,,Size unknown,True,-73.95844,40.71014
718974,A & G DELI GROCERY II,A&G DELI GROCERY II CORP,AC,976 PROSPECT AVE,BRONX,10459,Bronx,,Size unknown,True,-73.90008,40.82338
718979,GREENPOINT NATURAL MARKET,GREENPOINT NATURAL MARKET INC,AC,1021 MANHATTAN AVE,BROOKLYN,11222,Brooklyn,2900,Small supermarket or grocer,True,-73.95487,40.73393
718990,NEW LIFE,DYCKMAN NUTRITIONAL CORP,A,200-9 DYCKMAN ST,NEW YORK,10040,Manhattan,,Size unknown,True,-73.92691,40.865
